event_id_memoria,source_event_id,source,origin_time_utc,latitude,longitude,depth_km,magnitude_value,magnitude_type,magnitude_comparable,intensity_max,location_text,felt,location_uncertainty_km,magnitude_uncertainty,tectonic_domain,domain_confidence,historical_quality,quality_score,record_status,source_url,source_file,duplicate_group_id,is_preferred_record,ingested_at_utc
MEM-06EA382270F59508,79,AHEAD,1858-03-19 13:30:00+00:00,40.972,-7.366,,5.37,Mw,5.37,6,Moncorvo,,22.9,0.58,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-E1FBE529309428AE,80,AHEAD,1858-07-02 18:42:00+00:00,41.149,-8.009,,4.93,Mw,4.93,6,"Barqueiros, Mesão Frio",,8.7,0.58,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-855769D0224D8178,81,AHEAD,1858-07-15 00:00:00+00:00,39.721,-8.292,,3.47,Mw,3.47,4,Évora,,45.0,0.67,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-ECACAC739FDE5FFB,82,AHEAD,1858-11-11 06:00:00+00:00,38.2,-9.0,,4.5,Mw,4.5,,[Setúbal],,39.9,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-43363AEAAA147525,83,AHEAD,1858-11-11 07:15:00+00:00,38.244,-8.802,,6.8,Mw,6.8,9,Setúbal,,15.8,0.58,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-C51EAC7326EA7EF6,84,AHEAD,1859-03-09 19:00:00+00:00,37.2,-7.6,,4.3,Mw,4.3,,SCR,,39.9,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-23AD2D14D9BA7BA6,85,AHEAD,1862-08-22 17:00:00+00:00,37.05,-5.166,,5.35,Mw,5.35,7,Villanueva de San Juan,,20.0,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-57514487605E4CDC,86,AHEAD,1876-09-04 15:50:00+00:00,42.883,-8.55,,3.8,Mw,3.8,5,Santiago de Compostela.C,,99.9,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-D27BACCBF3039F84,87,AHEAD,1877-10-25 06:48:00+00:00,40.433,-10.0,,5.9,Mw,5.9,5,Océano Atlántico,,99.9,0.3,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-837D4C56C4D94061,88,AHEAD,1879-04-03 02:10:00+00:00,36.6,-6.233,,3.8,Mw,3.8,5,El Puerto de Sta. María.CA,,99.9,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-0DC63053B4EB6C34,89,AHEAD,1880-10-21 06:41:00+00:00,40.264,-7.649,,5.23,Mw,5.23,7,SCR,,11.8,0.3,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-E67DF396E8317837,90,AHEAD,1882-10-23 15:00:00+00:00,42.883,-8.55,,3.8,Mw,3.8,5,Santiago de Compostela.C,,50.0,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-C61D55C753352791,91,AHEAD,1883-10-20 00:45:00+00:00,36.98,-6.706,,5.33,Mw,5.33,5-6,Golfo de Cádiz,,50.0,0.3,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-A21F30EFA08E0707,92,AHEAD,1883-12-22 03:29:00+00:00,38.7,-9.2,,3.8,Mw,3.8,5,Lisboa,,49.9,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-85A85BAFB74BBE82,93,AHEAD,1884-12-22 03:29:00+00:00,38.7,-9.2,,,,,3,Lisboa,,,,,,medium,0.58,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-E296E8B3D5702BAE,94,AHEAD,1888-04-29 02:20:00+00:00,43.633,-7.583,,3.8,Mw,3.8,5,Viveiro.LU,,50.0,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-7921C80761BB6ED4,95,AHEAD,1890-02-21 00:00:00+00:00,39.7,-8.9,,4.46,Mw,4.46,6,Batalha,,49.9,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-4643DDEE64D9A643,96,AHEAD,1891-08-22 04:30:00+00:00,38.7,-9.2,,4.13,Mw,4.13,5-6,Lisboa,,49.9,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
MEM-5601FC56A6F4B350,97,AHEAD,1892-09-30 00:20:00+00:00,37.0,-7.0,,4.13,Mw,4.13,5-6,Golfo de Cádiz,,99.9,0.5,,,medium,0.72,historical,https://www.emidius.eu/services/europe/wfs?service=WFS&version=2.0.0&request=GetFeature&typeNames=europe%3AEPICA_1000_1899&outputFormat=application%2Fjson&CQL_FILTER=Lat%3E%3D32.0+AND+Lat%3C%3D44.0+AND+Lon%3E%3D-20.0+AND+Lon%3C%3D-5.0,C:\memoria-seismic-observatory\data\bronze\ahead\2026\07\20\epica_portugal_20260720T211501Z.json,,True,2026-07-20 21:15:02.002471+00:00
