event_id_memoria,source_event_id,source,origin_time_utc,latitude,longitude,depth_km,magnitude_value,magnitude_type,magnitude_original_value,magnitude_original_type,magnitude_comparable,magnitude_homogenization_method,magnitude_conversion_equation,magnitude_conversion_uncertainty,magnitude_homogenization_status,intensity_max,location_text,felt,location_uncertainty_km,magnitude_uncertainty,tectonic_domain,domain_confidence,historical_quality,quality_score,record_status,source_url,source_file,duplicate_group_id,is_preferred_record,cluster_id,cluster_role,is_background_event,declustering_method,declustering_eligible,declustering_exclusion_reason,ingested_at_utc
MEM-8F2FEE435F8D33B7,MEM-8F2FEE435F8D33B7,IPMA,2026-08-07 03:01:01+00:00,36.849,-8.717,25.0,0.9,L,0.9,L,0.9,,,,,,S  Lagos,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-D33B10D884BC17AF,MEM-D33B10D884BC17AF,IPMA,2026-08-07 13:39:23+00:00,37.536,-6.88,7.0,0.4,L,0.4,L,0.4,,,,,,NE Huelva (ESP),,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-0C1CA98F269046A8,MEM-0C1CA98F269046A8,IPMA,2026-08-07 22:02:58+00:00,37.365,-8.534,1.0,0.5,L,0.5,L,0.5,,,,,,NE Monchique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-B893E4850772DD87,MEM-B893E4850772DD87,IPMA,2026-08-08 16:07:11+00:00,38.499,-8.391,7.0,0.4,L,0.4,L,0.4,,,,,,NE Alcácer do Sal,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-4FE7EB4355668009,MEM-4FE7EB4355668009,IPMA,2026-08-08 18:16:05+00:00,38.847,-8.113,3.0,0.6,L,0.6,L,0.6,,,,,,SE Mora,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-D20DCAC53F370E22,MEM-D20DCAC53F370E22,IPMA,2026-08-09 07:00:44+00:00,37.352,-8.49,8.0,0.7,L,0.7,L,0.7,,,,,,NE Monchique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-36F132C568C126E3,MEM-36F132C568C126E3,IPMA,2026-08-09 07:17:32+00:00,38.318,-7.926,6.0,0.3,L,0.3,L,0.3,,,,,,E  Viana do Alentejo,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-8E6CB38FC95457B9,MEM-8E6CB38FC95457B9,IPMA,2026-08-09 09:52:32+00:00,37.086,-7.928,27.0,0.6,L,0.6,L,0.6,,,,,,SW S.Brás de Alportel,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-3676D9FB80D0C2E8,MEM-3676D9FB80D0C2E8,IPMA,2026-08-10 04:57:31+00:00,36.873,-7.363,25.0,0.9,L,0.9,L,0.9,,,,,,Golfo de Cádiz,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-DE95C0FF156DD92B,MEM-DE95C0FF156DD92B,IPMA,2026-08-10 06:54:17+00:00,37.346,-8.51,10.0,0.6,L,0.6,L,0.6,,,,,,NE Monchique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-2BC23C51EB692D3B,MEM-2BC23C51EB692D3B,IPMA,2026-08-11 19:00:59+00:00,40.107,-7.764,2.0,0.9,L,0.9,L,0.9,,,,,,NE Pampilhosa da Serra,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-95DDD7668A4BD777,MEM-95DDD7668A4BD777,IPMA,2026-08-11 20:01:04+00:00,37.338,-8.55,15.0,0.7,L,0.7,L,0.7,,,,,,NE Monchique,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
MEM-BF48ECD63A67A13E,MEM-BF48ECD63A67A13E,IPMA,2026-08-11 23:22:35+00:00,38.083,-9.208,12.0,0.7,L,0.7,L,0.7,,,,,,NW Sines,,,,,,high,0.92,preliminary,https://api.ipma.pt/open-data/observation/seismic/7.json,/home/runner/work/memoria-seismic-observatory/memoria-seismic-observatory/data/bronze/ipma/2026/09/01/area_7_20260901T084033Z.json,,True,,,False,,,,2026-09-01 08:40:33.083913+00:00
